PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Alone
1,3,0,0.2569708747074479,1,0,0.014151057562208,0.0,0
2,1,1,0.4453141635447894,1,0,0.1391357353826406,1.0,0
3,3,1,0.3040566969167832,0,0,0.0154685698179998,0.0,1
4,1,1,0.40999979688778787,1,0,0.1036442974556203,0.0,0
5,3,0,0.40999979688778787,0,0,0.0157125535690723,0.0,1
6,3,0,0.293771604067811,0,0,0.0165095020935757,2.0,1
7,1,0,0.6336574523821309,0,0,0.101228858320002,0.0,1
8,3,0,0.021541763660770936,3,1,0.0411356604308323,0.0,0
9,3,1,0.3158281524691171,0,2,0.0217307543665283,0.0,0
10,2,1,0.16279923028877707,1,0,0.0586942926540201,1.0,0
11,3,1,0.04508467476543863,1,1,0.032596229143293,0.0,0
12,1,1,0.6807432745914662,0,0,0.0518221487278101,0.0,1
13,3,0,0.23342796360278015,0,0,0.0157125535690723,0.0,1
14,3,0,0.45708561909712325,1,5,0.0610447345183526,0.0,0
15,3,1,0.16279923028877707,0,0,0.0153303774213923,0.0,1
16,2,1,0.6454289079344647,0,0,0.0312299201372867,0.0,1
17,3,0,0.021541763660770936,4,1,0.0568482139999047,2.0,0
18,2,0,0.40190871737713063,0,0,0.0253743101115454,0.0,1
19,3,1,0.3629139746784525,1,0,0.0351336601544475,0.0,0
20,3,1,0.2572622153584776,0,0,0.0141022608119935,1.0,1
21,2,0,0.40999979688778787,0,0,0.0507486202230909,0.0,1
22,2,0,0.398228341335454,0,0,0.0253743101115454,0.0,1
23,3,1,0.17457068584111093,0,0,0.0156719546728939,2.0,1
24,1,0,0.32759960802145094,0,0,0.0692913853046049,0.0,1
25,3,1,0.09217049697477402,3,1,0.0411356604308323,0.0,0
26,3,1,0.4453141635447894,1,5,0.0612643198943179,0.0,0
27,3,0,0.3100160456851455,0,0,0.0141022608119935,1.0,1
28,1,0,0.22165650805044632,3,2,0.5133418122566507,0.0,0
29,3,1,0.27695514597650267,0,0,0.0153791741716068,2.0,1
30,3,0,0.30098275667846,0,0,0.0154115752137492,0.0,1
31,1,0,0.4688570746494571,0,0,0.0541073981338561,1.0,1
32,1,1,0.3014992935941189,1,0,0.2859895551532101,1.0,0
33,3,1,0.27528909775910043,0,0,0.0151269925664982,2.0,1
34,2,0,0.774914919010137,0,0,0.0204946350900944,0.0,1
35,1,0,0.32759960802145094,1,0,0.16038672010106,1.0,0
36,1,0,0.49239998575412475,1,0,0.1014972404461818,0.0,0
37,3,0,0.3099594659656175,0,0,0.0141104586660295,1.0,1
38,3,0,0.24519941915511398,0,0,0.0157125535690723,0.0,1
39,3,1,0.20988505249811246,2,0,0.0351336601544475,0.0,0
40,3,1,0.16279923028877707,1,0,0.0219423370754585,1.0,0
41,3,1,0.4688570746494571,1,0,0.0184939683312994,0.0,0
42,2,1,0.3158281524691171,1,0,0.0409892701801888,0.0,0
43,3,0,0.30098275667846,0,0,0.0154115752137492,1.0,1
44,2,1,0.03331321921310478,1,2,0.081157193460767,1.0,0
45,3,1,0.22165650805044632,0,0,0.0153791741716068,2.0,1
46,3,0,0.2989062360672441,0,0,0.0157125535690723,0.0,1
47,3,0,0.3324830664802652,1,0,0.0302539851329965,2.0,0
48,3,1,0.27528909775910043,0,0,0.0151269925664982,2.0,1
49,3,0,0.23851894839000595,2,0,0.0423149802900166,1.0,0
50,3,1,0.20988505249811246,1,0,0.0347432861527314,0.0,0
51,3,0,0.08039904142244017,4,1,0.0774648409655354,0.0,0
52,3,0,0.24519941915511398,0,0,0.0152245860669272,0.0,1
53,1,1,0.5748001746204616,1,0,0.1497654242623688,1.0,0
54,2,1,0.33937106357378477,1,0,0.0507486202230909,0.0,0
55,1,0,0.7631434634578032,0,1,0.1209753416358076,1.0,0
56,1,0,0.5739064844791555,0,0,0.0692913853046049,0.0,1
57,2,1,0.24519941915511398,0,0,0.0204946350900944,0.0,1
58,3,0,0.33348533579761785,0,0,0.0141104586660295,1.0,1
59,2,1,0.05685613031777247,1,2,0.0541643927381066,0.0,0
60,3,0,0.12748486363177555,5,2,0.0915427034024217,0.0,0
61,3,0,0.2569708747074479,0,0,0.0141104586660295,1.0,1
62,1,1,0.4453141635447894,0,0,0.1561496006864336,0.0,1
63,1,0,0.5277143524111263,1,0,0.1629323489662505,0.0,0
64,3,0,0.04508467476543863,3,2,0.0544571732393937,0.0,0
65,1,0,0.5322997345380146,0,0,0.0541073981338561,1.0,1
66,3,0,0.10290685799152113,1,1,0.0297578197768153,1.0,0
67,2,1,0.33937106357378477,0,0,0.0204946350900944,0.0,1
68,3,0,0.22165650805044632,0,0,0.0159239410910016,0.0,1
69,3,1,0.1981135969457786,4,2,0.0154685698179998,0.0,0
70,3,0,0.3040566969167832,2,0,0.0169080739493278,0.0,0
71,2,0,0.3746854302307863,0,0,0.0204946350900944,0.0,1
72,3,1,0.18634214139344477,5,2,0.0915427034024217,0.0,0
73,2,0,0.24519941915511398,0,0,0.1434624456306609,0.0,1
74,3,0,0.3040566969167832,1,0,0.0282127194780231,1.0,0
75,3,0,0.3746854302307863,0,0,0.1102724576307577,0.0,1
76,3,0,0.2922852413644494,0,0,0.0149318055656402,0.0,1
77,3,0,0.30098275667846,0,0,0.0154115752137492,0.0,1
78,3,0,0.2989062360672441,0,0,0.0157125535690723,0.0,1
79,2,0,0.007769160664540337,0,2,0.0566042302488321,0.0,0
80,3,1,0.35114251912611866,0,0,0.0243495783570407,0.0,1
81,3,0,0.2569708747074479,0,0,0.0175668300772237,0.0,1
82,3,0,0.33937106357378477,0,0,0.0185427650815139,0.0,1
83,3,1,0.27577267474290734,0,0,0.01520018769182,2.0,1
84,1,0,0.32759960802145094,0,0,0.0919330774041378,0.0,1
85,2,1,0.1981135969457786,0,0,0.0204946350900944,0.0,1
86,3,1,0.38645688578312015,3,0,0.0309371396359996,0.0,0
87,3,0,0.18634214139344477,1,3,0.0670955315449519,0.0,0
88,3,0,0.2989062360672441,0,0,0.0157125535690723,0.0,1
89,1,1,0.2687423302597817,3,2,0.5133418122566507,0.0,0
90,3,0,0.28051378581211556,0,0,0.0157125535690723,0.0,1
