PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Alone,Survived
1,3,0,0.2569708747074479,1,0,0.014151057562208,0.0,0,0
2,1,1,0.4453141635447894,1,0,0.1391357353826406,1.0,0,1
3,3,1,0.3040566969167832,0,0,0.0154685698179998,0.0,1,1
4,1,1,0.4099997968877878,1,0,0.1036442974556203,0.0,0,1
5,3,0,0.4099997968877878,0,0,0.0157125535690723,0.0,1,0
6,3,0,0.293771604067811,0,0,0.0165095020935757,2.0,1,0
7,1,0,0.6336574523821309,0,0,0.101228858320002,0.0,1,0
8,3,0,0.0215417636607709,3,1,0.0411356604308323,0.0,0,0
9,3,1,0.3158281524691171,0,2,0.0217307543665283,0.0,0,1
10,2,1,0.162799230288777,1,0,0.0586942926540201,1.0,0,1
11,3,1,0.0450846747654386,1,1,0.032596229143293,0.0,0,1
12,1,1,0.6807432745914662,0,0,0.0518221487278101,0.0,1,1
13,3,0,0.2334279636027801,0,0,0.0157125535690723,0.0,1,0
14,3,0,0.4570856190971232,1,5,0.0610447345183526,0.0,0,0
15,3,1,0.162799230288777,0,0,0.0153303774213923,0.0,1,0
16,2,1,0.6454289079344647,0,0,0.0312299201372867,0.0,1,1
17,3,0,0.0215417636607709,4,1,0.0568482139999047,2.0,0,0
18,2,0,0.4019087173771306,0,0,0.0253743101115454,0.0,1,1
19,3,1,0.3629139746784525,1,0,0.0351336601544475,0.0,0,0
20,3,1,0.2572622153584776,0,0,0.0141022608119935,1.0,1,1
21,2,0,0.4099997968877878,0,0,0.0507486202230909,0.0,1,0
22,2,0,0.398228341335454,0,0,0.0253743101115454,0.0,1,1
23,3,1,0.1745706858411109,0,0,0.0156719546728939,2.0,1,1
24,1,0,0.3275996080214509,0,0,0.0692913853046049,0.0,1,1
25,3,1,0.092170496974774,3,1,0.0411356604308323,0.0,0,0
26,3,1,0.4453141635447894,1,5,0.0612643198943179,0.0,0,1
27,3,0,0.3100160456851455,0,0,0.0141022608119935,1.0,1,0
28,1,0,0.2216565080504463,3,2,0.5133418122566507,0.0,0,0
29,3,1,0.2769551459765026,0,0,0.0153791741716068,2.0,1,1
30,3,0,0.30098275667846,0,0,0.0154115752137492,0.0,1,0
31,1,0,0.4688570746494571,0,0,0.0541073981338561,1.0,1,0
32,1,1,0.3014992935941189,1,0,0.2859895551532101,1.0,0,1
